k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,2.430560e+01,1.096880e+02,1.096880e+00,1.262113e+01,7.019540e+01,7.019540e-01
2.541020e-03,1.984479e+01,2.385489e+01,2.385489e-01,9.860453e+00,1.577347e+01,1.577347e-01
5.082039e-03,1.824457e+01,1.853226e+01,1.853226e-01,8.714221e+00,1.067343e+01,1.067343e-01
7.623059e-03,1.361161e+01,1.507094e+01,1.507094e-01,6.817019e+00,8.573225e+00,8.573225e-02
1.016408e-02,1.208687e+01,1.293652e+01,1.293652e-01,6.064937e+00,7.367968e+00,7.367968e-02
1.270510e-02,1.008570e+01,1.082921e+01,1.082921e-01,5.156182e+00,6.131892e+00,6.131892e-02
1.524612e-02,8.803276e+00,8.977502e+00,8.977502e-02,4.480520e+00,5.083420e+00,5.083420e-02
1.778714e-02,7.577587e+00,7.939441e+00,7.939441e-02,3.891744e+00,4.515320e+00,4.515320e-02
2.032816e-02,6.604886e+00,7.083884e+00,7.083884e-02,3.409498e+00,3.933846e+00,3.933846e-02
2.286918e-02,5.544660e+00,5.824509e+00,5.824509e-02,2.854688e+00,3.236207e+00,3.236207e-02
2.541020e-02,4.913939e+00,5.119882e+00,5.119882e-02,2.527890e+00,2.818095e+00,2.818095e-02
2.795122e-02,4.359623e+00,4.534403e+00,4.534403e-02,2.233617e+00,2.509465e+00,2.509465e-02
3.049224e-02,3.844832e+00,4.060140e+00,4.060140e-02,1.959770e+00,2.193784e+00,2.193784e-02
3.303325e-02,3.361880e+00,3.548695e+00,3.548695e-02,1.711900e+00,1.886821e+00,1.886821e-02
3.557427e-02,2.851687e+00,3.082480e+00,3.082480e-02,1.437772e+00,1.651003e+00,1.651003e-02
3.811529e-02,2.516104e+00,2.644870e+00,2.644870e-02,1.261772e+00,1.428885e+00,1.428885e-02
4.065631e-02,2.277395e+00,2.497932e+00,2.497932e-02,1.135753e+00,1.299924e+00,1.299924e-02
4.319733e-02,2.104953e+00,2.245881e+00,2.245881e-02,1.035499e+00,1.160191e+00,1.160191e-02
4.573835e-02,1.808047e+00,1.931168e+00,1.931168e-02,8.923778e-01,9.977463e-01,9.977463e-03
4.827937e-02,1.610755e+00,1.683733e+00,1.683733e-02,7.734549e-01,8.524023e-01,8.524023e-03
5.082039e-02,1.422808e+00,1.498372e+00,1.498372e-02,6.736366e-01,7.589968e-01,7.589968e-03
5.336141e-02,1.276023e+00,1.332760e+00,1.332760e-02,6.036895e-01,6.676555e-01,6.676555e-03
5.590243e-02,1.135372e+00,1.192320e+00,1.192320e-02,5.273086e-01,5.839197e-01,5.839197e-03
5.844345e-02,1.016228e+00,1.065456e+00,1.065456e-02,4.697585e-01,5.141952e-01,5.141952e-03
6.098447e-02,9.392356e-01,9.885230e-01,9.885230e-03,4.293434e-01,4.748694e-01,4.748694e-03
6.352549e-02,8.183923e-01,8.769574e-01,8.769574e-03,3.715783e-01,4.182802e-01,4.182802e-03
6.606651e-02,7.248209e-01,7.779938e-01,7.779938e-03,3.301274e-01,3.635386e-01,3.635386e-03
6.860753e-02,6.573864e-01,6.933371e-01,6.933371e-03,2.956577e-01,3.214707e-01,3.214707e-03
7.114855e-02,6.038431e-01,6.428122e-01,6.428122e-03,2.696546e-01,2.927191e-01,2.927191e-03
7.368957e-02,5.331637e-01,5.663665e-01,5.663665e-03,2.355876e-01,2.571158e-01,2.571158e-03
7.623059e-02,4.715296e-01,5.102223e-01,5.102223e-03,2.054183e-01,2.272790e-01,2.272790e-03
7.877161e-02,4.296110e-01,4.595431e-01,4.595431e-03,1.860227e-01,2.015446e-01,2.015446e-03
8.131263e-02,3.812542e-01,4.006981e-01,4.006981e-03,1.632738e-01,1.789249e-01,1.789249e-03
