k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
2.835722e+01,7.521831e-10,2.332385e-08,2.332385e-10,9.469849e-11,1.954880e-09,1.954880e-11
2.835925e+01,7.707460e-10,2.397586e-08,2.397586e-10,9.640873e-11,2.018469e-09,2.018469e-11
2.836128e+01,7.896359e-10,2.469159e-08,2.469159e-10,9.808579e-11,2.087011e-09,2.087011e-11
2.836332e+01,8.087146e-10,2.547110e-08,2.547110e-10,9.972337e-11,2.160552e-09,2.160552e-11
2.836535e+01,8.277377e-10,2.631171e-08,2.631171e-10,1.013080e-10,2.238958e-09,2.238958e-11
2.836739e+01,8.464118e-10,2.720795e-08,2.720795e-10,1.028139e-10,2.321831e-09,2.321831e-11
2.836942e+01,8.644651e-10,2.815168e-08,2.815168e-10,1.042191e-10,2.408607e-09,2.408607e-11
2.837145e+01,8.816623e-10,2.913246e-08,2.913246e-10,1.055097e-10,2.498613e-09,2.498613e-11
2.837349e+01,8.978060e-10,3.013785e-08,3.013785e-10,1.066708e-10,2.590985e-09,2.590985e-11
2.837552e+01,9.127227e-10,3.115384e-08,3.115384e-10,1.076866e-10,2.684640e-09,2.684640e-11
2.837756e+01,9.262765e-10,3.216526e-08,3.216526e-10,1.085493e-10,2.778362e-09,2.778362e-11
2.837959e+01,9.383142e-10,3.315604e-08,3.315604e-10,1.092566e-10,2.870786e-09,2.870786e-11
2.838162e+01,9.487232e-10,3.410961e-08,3.410961e-10,1.098066e-10,2.960353e-09,2.960353e-11
2.838366e+01,9.574862e-10,3.500938e-08,3.500938e-10,1.102036e-10,3.045414e-09,3.045414e-11
2.838569e+01,9.645916e-10,3.583945e-08,3.583945e-10,1.104583e-10,3.124403e-09,3.124403e-11
2.838773e+01,9.699945e-10,3.658500e-08,3.658500e-10,1.105769e-10,3.195849e-09,3.195849e-11
2.838976e+01,9.735744e-10,3.723265e-08,3.723265e-10,1.105540e-10,3.258372e-09,3.258372e-11
2.839179e+01,9.751672e-10,3.777045e-08,3.777045e-10,1.103778e-10,3.310769e-09,3.310769e-11
2.839383e+01,9.746163e-10,3.818804e-08,3.818804e-10,1.100373e-10,3.352023e-09,3.352023e-11
2.839586e+01,9.718051e-10,3.847674e-08,3.847674e-10,1.095209e-10,3.381225e-09,3.381225e-11
2.839790e+01,9.667195e-10,3.862974e-08,3.862974e-10,1.088196e-10,3.397636e-09,3.397636e-11
2.839993e+01,9.593771e-10,3.864249e-08,3.864249e-10,1.079298e-10,3.400821e-09,3.400821e-11
2.840196e+01,9.498223e-10,3.851311e-08,3.851311e-10,1.068537e-10,3.390653e-09,3.390653e-11
2.840400e+01,9.381790e-10,3.824264e-08,3.824264e-10,1.056008e-10,3.367292e-09,3.367292e-11
2.840603e+01,9.246651e-10,3.783493e-08,3.783493e-10,1.041899e-10,3.331229e-09,3.331229e-11
2.840807e+01,9.096156e-10,3.729637e-08,3.729637e-10,1.026514e-10,3.283251e-09,3.283251e-11
2.841010e+01,8.934142e-10,3.663539e-08,3.663539e-10,1.010223e-10,3.224302e-09,3.224302e-11
2.841213e+01,8.764810e-10,3.586208e-08,3.586208e-10,9.934163e-11,3.155412e-09,3.155412e-11
2.841417e+01,8.591973e-10,3.498791e-08,3.498791e-10,9.764537e-11,3.077740e-09,3.077740e-11
2.841620e+01,8.418401e-10,3.402565e-08,3.402565e-10,9.596257e-11,2.992582e-09,2.992582e-11
2.841823e+01,8.246899e-10,3.298937e-08,3.298937e-10,9.431829e-11,2.901295e-09,2.901295e-11
2.842027e+01,8.079974e-10,3.189430e-08,3.189430e-10,9.273338e-11,2.805309e-09,2.805309e-11
2.842230e+01,7.919351e-10,3.075650e-08,3.075650e-10,9.122004e-11,2.706171e-09,2.706171e-11
2.842434e+01,7.766100e-10,2.959258e-08,2.959258e-10,8.978201e-11,2.605452e-09,2.605452e-11
2.842637e+01,7.620736e-10,2.841921e-08,2.841921e-10,8.841825e-11,2.504635e-09,2.504635e-11
2.842840e+01,7.483690e-10,2.725279e-08,2.725279e-10,8.712716e-11,2.405167e-09,2.405167e-11
2.843044e+01,7.355358e-10,2.610909e-08,2.610909e-10,8.590922e-11,2.308492e-09,2.308492e-11
2.843247e+01,7.236794e-10,2.500295e-08,2.500295e-10,8.477017e-11,2.215931e-09,2.215931e-11
2.843451e+01,7.129701e-10,2.394793e-08,2.394793e-10,8.372408e-11,2.128670e-09,2.128670e-11
2.843654e+01,7.035416e-10,2.295616e-08,2.295616e-10,8.279087e-11,2.047873e-09,2.047873e-11
2.843857e+01,6.954902e-10,2.203791e-08,2.203791e-10,8.198964e-11,1.974638e-09,1.974638e-11
2.844061e+01,6.889087e-10,2.120142e-08,2.120142e-10,8.133863e-11,1.909863e-09,1.909863e-11
