statistic,value
mean_flux,0.9730720994699888
median_flux,0.9982661008834839
std_flux,0.09943994589105071
min_flux,2.9382650407717056e-39
max_flux,1.0
mean_tau,133.10989393616126
median_tau,0.001735380501486361
effective_tau,0.027297099366708412
deep_absorption_frac,0.0034379695187807514
moderate_absorption_frac,0.009118620744829792
weak_absorption_frac,0.9874434097363894
tau_eff_err,0.0004968542828112026
tau_eff_std,0.04968542828112027
mean_flux_err,0.00031617972805866016
mean_flux_std,0.031617972805866014
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,10.487853681216064
hi_fraction_eff,0.002602734516943361
