k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,1.650586e+02,2.820000e+02,2.820000e+00,8.954867e+01,1.826016e+02,1.826016e+00
2.033942e-03,1.529547e+02,1.497841e+02,1.497841e+00,8.912167e+01,8.617786e+01,8.617786e-01
4.067884e-03,1.387349e+02,1.423905e+02,1.423905e+00,7.966668e+01,7.779748e+01,7.779748e-01
6.101825e-03,1.100355e+02,1.105715e+02,1.105715e+00,6.299272e+01,6.161163e+01,6.161163e-01
8.135767e-03,9.443500e+01,9.419338e+01,9.419338e-01,5.415403e+01,5.249314e+01,5.249314e-01
1.016971e-02,8.223429e+01,8.275816e+01,8.275816e-01,4.724558e+01,4.684464e+01,4.684464e-01
1.220365e-02,7.246428e+01,7.280369e+01,7.280369e-01,4.238550e+01,4.197447e+01,4.197447e-01
1.423759e-02,6.314656e+01,6.335534e+01,6.335534e-01,3.691676e+01,3.637377e+01,3.637377e-01
1.627153e-02,5.706538e+01,5.829879e+01,5.829879e-01,3.428178e+01,3.465020e+01,3.465020e-01
1.830548e-02,4.889662e+01,4.852079e+01,4.852079e-01,2.880822e+01,2.828419e+01,2.828419e-01
2.033942e-02,4.372554e+01,4.482126e+01,4.482126e-01,2.610372e+01,2.629748e+01,2.629748e-01
2.237336e-02,3.874676e+01,3.885964e+01,3.885964e-01,2.343543e+01,2.341069e+01,2.341069e-01
2.440730e-02,3.411645e+01,3.484202e+01,3.484202e-01,2.077093e+01,2.092651e+01,2.092651e-01
2.644124e-02,3.154682e+01,3.227946e+01,3.227946e-01,1.911244e+01,1.907959e+01,1.907959e-01
2.847519e-02,2.756216e+01,2.807666e+01,2.807666e-01,1.688984e+01,1.679143e+01,1.679143e-01
3.050913e-02,2.537978e+01,2.607530e+01,2.607530e-01,1.569930e+01,1.585269e+01,1.585269e-01
3.254307e-02,2.287094e+01,2.356303e+01,2.356303e-01,1.419688e+01,1.455921e+01,1.455921e-01
3.457701e-02,2.054356e+01,2.172844e+01,2.172844e-01,1.283470e+01,1.319012e+01,1.319012e-01
3.661095e-02,1.858421e+01,1.980937e+01,1.980937e-01,1.150071e+01,1.199480e+01,1.199480e-01
3.864489e-02,1.712666e+01,1.802431e+01,1.802431e-01,1.057160e+01,1.092892e+01,1.092892e-01
4.067884e-02,1.527129e+01,1.616946e+01,1.616946e-01,9.601078e+00,9.898926e+00,9.898926e-02
4.271278e-02,1.390409e+01,1.450884e+01,1.450884e-01,8.774407e+00,8.952135e+00,8.952135e-02
4.474672e-02,1.247927e+01,1.309073e+01,1.309073e-01,7.968044e+00,8.207637e+00,8.207637e-02
4.678066e-02,1.135453e+01,1.180857e+01,1.180857e-01,7.305520e+00,7.557792e+00,7.557792e-02
4.881460e-02,1.006777e+01,1.060350e+01,1.060350e-01,6.483067e+00,6.635401e+00,6.635401e-02
5.084854e-02,9.059403e+00,9.639000e+00,9.639000e-02,5.917283e+00,6.094914e+00,6.094914e-02
5.288249e-02,8.164375e+00,8.818933e+00,8.818933e-02,5.287413e+00,5.498514e+00,5.498514e-02
5.491643e-02,7.704070e+00,8.296888e+00,8.296888e-02,4.992138e+00,5.164742e+00,5.164742e-02
5.695037e-02,6.935479e+00,7.331442e+00,7.331442e-02,4.567893e+00,4.709473e+00,4.709473e-02
5.898431e-02,6.232224e+00,6.716563e+00,6.716563e-02,4.108035e+00,4.335194e+00,4.335194e-02
6.101825e-02,5.668639e+00,6.135420e+00,6.135420e-02,3.741078e+00,3.995818e+00,3.995818e-02
6.305220e-02,5.197976e+00,5.571771e+00,5.571771e-02,3.523723e+00,3.679691e+00,3.679691e-02
6.508614e-02,4.660868e+00,5.006671e+00,5.006671e-02,3.129490e+00,3.300185e+00,3.300185e-02
6.712008e-02,4.177621e+00,4.524612e+00,4.524612e-02,2.810818e+00,2.994852e+00,2.994852e-02
6.915402e-02,3.857964e+00,4.174367e+00,4.174367e-02,2.626371e+00,2.798604e+00,2.798604e-02
7.118796e-02,3.531074e+00,3.861961e+00,3.861961e-02,2.390179e+00,2.529674e+00,2.529674e-02
7.322190e-02,3.222742e+00,3.384467e+00,3.384467e-02,2.217879e+00,2.281407e+00,2.281407e-02
7.525585e-02,2.953561e+00,3.226441e+00,3.226441e-02,2.010357e+00,2.120105e+00,2.120105e-02
