ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10004,1.000400e+01,9.999994e-01,1.525911e+04,2.623992e+03
HI 1215Å,10264,1.026400e+01,2.617742e-02,1.106468e+04,1.023821e+00
