ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.680643e+04,4.802707e+03
HI 1215Å,15229,1.522900e+01,4.311556e-02,6.482555e+03,1.092307e+00
