ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,6.522532e+04,2.477561e+04
HI 1215Å,30757,3.075700e+01,1.152007e-01,4.731217e+03,1.285258e+00
