# n_sightlines = 10000
# X = 7.515343e-02 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 7.515343e-02
# redshift = 2.002028
# n_absorbers = 620000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.839081
# beta_fit_err = 0.018618
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,7.564029e-12,33249,4.148240e-14,2.000000e-01,1.292447e+13
1.331141e+01,3.690140e-12,25708,2.301488e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.741713e-12,19231,1.255959e-14,2.000000e-01,3.246479e+13
1.371141e+01,8.015091e-13,14026,6.767707e-15,2.000000e-01,5.145323e+13
1.391141e+01,3.651006e-13,10126,3.628220e-15,2.000000e-01,8.154787e+13
1.411141e+01,1.563811e-13,6874,1.886164e-15,2.000000e-01,1.292447e+14
1.431141e+01,6.775114e-14,4720,9.861560e-16,2.000000e-01,2.048390e+14
1.451141e+01,2.704359e-14,2986,4.949023e-16,2.000000e-01,3.246479e+14
1.471141e+01,1.159462e-14,2029,2.574042e-16,2.000000e-01,5.145323e+14
1.491141e+01,4.759360e-15,1320,1.309971e-16,2.000000e-01,8.154787e+14
1.511141e+01,1.888220e-15,830,6.554109e-17,2.000000e-01,1.292447e+15
1.531141e+01,8.440184e-16,588,3.480673e-17,2.000000e-01,2.048390e+15
1.551141e+01,3.423469e-16,378,1.760842e-17,2.000000e-01,3.246479e+15
1.571141e+01,1.657191e-16,290,9.731361e-18,2.000000e-01,5.145323e+15
1.591141e+01,6.814538e-17,189,4.956847e-18,2.000000e-01,8.154787e+15
1.611141e+01,3.776441e-17,166,2.931087e-18,2.000000e-01,1.292447e+16
1.631141e+01,2.138754e-17,149,1.752136e-18,2.000000e-01,2.048390e+16
1.651141e+01,1.050588e-17,116,9.754468e-19,2.000000e-01,3.246479e+16
1.671141e+01,5.657308e-18,99,5.685808e-19,2.000000e-01,5.145323e+16
1.691141e+01,2.704182e-18,75,3.122520e-19,2.000000e-01,8.154787e+16
1.711141e+01,1.182981e-18,52,1.640500e-19,2.000000e-01,1.292447e+17
1.731141e+01,7.320568e-19,51,1.025085e-19,2.000000e-01,2.048390e+17
1.751141e+01,4.075558e-19,45,6.075484e-20,2.000000e-01,3.246479e+17
1.771141e+01,2.685793e-19,47,3.917631e-20,2.000000e-01,5.145323e+17
1.791141e+01,1.153784e-19,32,2.039622e-20,2.000000e-01,8.154787e+17
1.811141e+01,5.004922e-20,22,1.067053e-20,2.000000e-01,1.292447e+18
1.831141e+01,2.870811e-20,20,6.419329e-21,2.000000e-01,2.048390e+18
1.851141e+01,2.264199e-20,25,4.528398e-21,2.000000e-01,3.246479e+18
1.871141e+01,1.200035e-20,21,2.618691e-21,2.000000e-01,5.145323e+18
1.891141e+01,9.013939e-21,25,1.802788e-21,2.000000e-01,8.154787e+18
1.911141e+01,3.867439e-21,17,9.379918e-22,2.000000e-01,1.292447e+19
1.931141e+01,2.583730e-21,18,6.089910e-22,2.000000e-01,2.048390e+19
1.951141e+01,1.267951e-21,14,3.388743e-22,2.000000e-01,3.246479e+19
1.971141e+01,9.143124e-22,16,2.285781e-22,2.000000e-01,5.145323e+19
1.991141e+01,4.687248e-22,13,1.300009e-22,2.000000e-01,8.154787e+19
2.011141e+01,3.412447e-22,15,8.810899e-23,2.000000e-01,1.292447e+20
2.031141e+01,1.578946e-22,11,4.760701e-23,2.000000e-01,2.048390e+20
2.051141e+01,4.528398e-23,5,2.025161e-23,2.000000e-01,3.246479e+20
2.071141e+01,2.285781e-23,4,1.142890e-23,2.000000e-01,5.145323e+20
2.091141e+01,1.081673e-23,3,6.245040e-24,2.000000e-01,8.154787e+20
2.111141e+01,1.137482e-23,5,5.086975e-24,2.000000e-01,1.292447e+21
2.131141e+01,4.306216e-24,3,2.486195e-24,2.000000e-01,2.048390e+21
2.151141e+01,1.811359e-24,2,1.280824e-24,2.000000e-01,3.246479e+21
2.171141e+01,5.714452e-25,1,5.714452e-25,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
