ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.373065e+04,3.589285e+03
HI 1215Å,12348,1.234800e+01,3.213511e-02,1.111618e+04,1.025547e+00
