statistic,value
mean_flux,0.9680148209847375
median_flux,0.9984199404716492
std_flux,0.1095993264378736
min_flux,2.9382650407717056e-39
max_flux,1.0
mean_tau,279.7621243025121
median_tau,0.0015813226345926523
effective_tau,0.03250788088812507
deep_absorption_frac,0.004425944366718788
moderate_absorption_frac,0.01076235700765369
weak_absorption_frac,0.9848116986256276
tau_eff_err,0.0007401780340850221
tau_eff_std,0.07401780340850221
mean_flux_err,0.000391192748871273
mean_flux_std,0.0391192748871273
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,
hi_fraction_eff,
