ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.647222e+04,2.283908e+03
HI 1215Å,8455,8.455000e+00,2.102264e-02,1.330673e+04,9.840827e-01
