statistic,value
mean_flux,0.8557874014478396
median_flux,0.9707812070846558
std_flux,0.24897622578116652
min_flux,2.9382650407717056e-39
max_flux,0.9998986124992371
mean_tau,985.3378647309256
median_tau,0.0296541228890419
effective_tau,0.15573329648212134
deep_absorption_frac,0.04036013105267637
moderate_absorption_frac,0.0628446940685899
weak_absorption_frac,0.8967951748787337
tau_eff_err,0.0016821806143579904
tau_eff_std,0.16821806143579904
mean_flux_err,0.000727251197609878
mean_flux_std,0.0727251197609878
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,
hi_fraction_eff,
