ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.882605e+04,3.964285e+03
HI 1215Å,16579,1.657900e+01,4.465492e-02,5.650095e+03,1.173115e+00
