# n_sightlines = 10000
# X = 1.001030e-01 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 1.001030e-01
# redshift = 2.464686
# n_absorbers = 520000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.785640
# beta_fit_err = 0.026482
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,1.089197e-11,63772,4.313118e-14,2.000000e-01,1.292447e+13
1.331141e+01,5.475953e-12,50814,2.429227e-14,2.000000e-01,2.048390e+13
1.351141e+01,2.586118e-12,38034,1.326058e-14,2.000000e-01,3.246479e+13
1.371141e+01,1.197563e-12,27914,7.167825e-15,2.000000e-01,5.145323e+13
1.391141e+01,5.557860e-13,20532,3.878752e-15,2.000000e-01,8.154787e+13
1.411141e+01,2.604802e-13,15251,2.109238e-15,2.000000e-01,1.292447e+14
1.431141e+01,1.154052e-13,10709,1.115195e-15,2.000000e-01,2.048390e+14
1.451141e+01,4.808600e-14,7072,5.718044e-16,2.000000e-01,3.246479e+14
1.471141e+01,1.973916e-14,4601,2.910064e-16,2.000000e-01,5.145323e+14
1.491141e+01,8.066639e-15,2980,1.477694e-16,2.000000e-01,8.154787e+14
1.511141e+01,3.168256e-15,1855,7.356112e-17,2.000000e-01,1.292447e+15
1.531141e+01,1.323350e-15,1228,3.776379e-17,2.000000e-01,2.048390e+15
1.551141e+01,5.330800e-16,784,1.903857e-17,2.000000e-01,3.246479e+15
1.571141e+01,2.372474e-16,553,1.008879e-17,2.000000e-01,5.145323e+15
1.591141e+01,1.155857e-16,427,5.593586e-18,2.000000e-01,8.154787e+15
1.611141e+01,5.738728e-17,336,3.130733e-18,2.000000e-01,1.292447e+16
1.631141e+01,2.457034e-17,228,1.627211e-18,2.000000e-01,2.048390e+16
1.651141e+01,1.366698e-17,201,9.639941e-19,2.000000e-01,3.246479e+16
1.671141e+01,6.220773e-18,145,5.166071e-19,2.000000e-01,5.145323e+16
1.691141e+01,3.735558e-18,138,3.179918e-19,2.000000e-01,8.154787e+16
1.711141e+01,1.520080e-18,89,1.611281e-19,2.000000e-01,1.292447e+17
1.731141e+01,6.896938e-19,64,8.621173e-20,2.000000e-01,2.048390e+17
1.751141e+01,3.467740e-19,51,4.855807e-20,2.000000e-01,3.246479e+17
1.771141e+01,2.016389e-19,47,2.941205e-20,2.000000e-01,5.145323e+17
1.791141e+01,1.055701e-19,39,1.690475e-20,2.000000e-01,8.154787e+17
1.811141e+01,4.440682e-20,26,8.708895e-21,2.000000e-01,1.292447e+18
1.831141e+01,3.879528e-20,36,6.465880e-21,2.000000e-01,2.048390e+18
1.851141e+01,2.311827e-20,34,3.964750e-21,2.000000e-01,3.246479e+18
1.871141e+01,9.438414e-21,22,2.012277e-21,2.000000e-01,5.145323e+18
1.891141e+01,7.308700e-21,27,1.406560e-21,2.000000e-01,8.154787e+18
1.911141e+01,2.903523e-21,17,7.042078e-22,2.000000e-01,1.292447e+19
1.931141e+01,2.047529e-21,19,4.697353e-22,2.000000e-01,2.048390e+19
1.951141e+01,1.631878e-21,24,3.331056e-22,2.000000e-01,3.246479e+19
1.971141e+01,1.072547e-21,25,2.145094e-22,2.000000e-01,5.145323e+19
1.991141e+01,4.601774e-22,17,1.116094e-22,2.000000e-01,8.154787e+19
2.011141e+01,2.732728e-22,16,6.831819e-23,2.000000e-01,1.292447e+20
2.031141e+01,1.400941e-22,13,3.885510e-23,2.000000e-01,2.048390e+20
2.051141e+01,1.019924e-22,15,2.633431e-23,2.000000e-01,3.246479e+20
2.071141e+01,4.719207e-23,11,1.422895e-23,2.000000e-01,5.145323e+20
2.091141e+01,1.353463e-23,5,6.052870e-24,2.000000e-01,8.154787e+20
2.111141e+01,3.415909e-24,2,2.415413e-24,2.000000e-01,1.292447e+21
2.131141e+01,1.077647e-24,1,1.077647e-24,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,2.706926e-25,1,2.706926e-25,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
