ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,9.146901e+04,2.765361e+04
HI 1215Å,66014,6.601400e+01,1.920552e-01,6.800217e+03,1.493912e+00
