statistic,value
mean_flux,0.43639916278559254
median_flux,0.47772690653800964
std_flux,0.3153592154074036
min_flux,2.9382650407717056e-39
max_flux,0.9989438056945801
mean_tau,2025.7379842606254
median_tau,0.7387160062789917
effective_tau,0.8291979434815406
deep_absorption_frac,0.25180406780663867
moderate_absorption_frac,0.26612354298562213
weak_absorption_frac,0.4820723892077392
tau_eff_err,0.0020991808395176403
tau_eff_std,0.209918083951764
mean_flux_err,0.0007144563558908995
mean_flux_std,0.07144563558908995
n_sightlines,10000.0
tau_eff_obs_target,0.5554037618171708
mean_flux_target,0.5738405195244356
tau_scale_factor,0.5063533687411639
tau_eff_H_total,156.14865426436407
hi_fraction_eff,0.005310311168715061
