ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.493623e+05,5.837265e+04
HI 1215Å,138838,1.388380e+02,6.144569e-01,3.296625e+03,1.676493e+00
