ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10003,1.000300e+01,9.999997e-01,2.090894e+04,3.439920e+03
HI 1215Å,16769,1.676900e+01,4.554917e-02,1.804532e+04,1.127592e+00
