statistic,value
mean_flux,0.5546996436274019
median_flux,0.6684300899505615
std_flux,0.33163113959310025
min_flux,2.9382650407717056e-39
max_flux,0.9972328543663025
mean_tau,1210.3888723916061
median_tau,0.40282341837882996
effective_tau,0.5893284943812197
deep_absorption_frac,0.18396720835126992
moderate_absorption_frac,0.1875817692638829
weak_absorption_frac,0.6284510223848472
tau_eff_err,0.001776090977056189
tau_eff_std,0.1776090977056189
mean_flux_err,0.0007603801043915023
mean_flux_std,0.07603801043915023
n_sightlines,10000.0
tau_eff_obs_target,0.3620014421674397
mean_flux_target,0.6962813636867353
tau_scale_factor,0.4310072671418859
tau_eff_H_total,
hi_fraction_eff,
