statistic,value
mean_flux,0.9586597073958638
median_flux,0.9975262880325317
std_flux,0.13174238486486767
min_flux,2.9382650407717056e-39
max_flux,1.0
mean_tau,441.8218198171
median_tau,0.002476766239851713
effective_tau,0.04221910815847088
deep_absorption_frac,0.007320836471578575
moderate_absorption_frac,0.015840458996056888
weak_absorption_frac,0.9768387045323645
tau_eff_err,0.000999210758400302
tau_eff_std,0.09992107584003018
mean_flux_err,0.0004836634671137302
mean_flux_std,0.04836634671137302
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,
hi_fraction_eff,
