statistic,value
mean_flux,0.7759252253794867
median_flux,0.9004328846931458
std_flux,0.27377171119521015
min_flux,2.9382650407717056e-39
max_flux,0.9981385469436646
mean_tau,577.0714880717406
median_tau,0.10487962514162064
effective_tau,0.2536991224888027
deep_absorption_frac,0.05968744497607655
moderate_absorption_frac,0.09188521850079745
weak_absorption_frac,0.848427336523126
tau_eff_err,0.0018772835095391487
tau_eff_std,0.18772835095391488
mean_flux_err,0.0007505143184010074
mean_flux_std,0.07505143184010074
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,inf
hi_fraction_eff,0.0
