ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.096689e+05,4.752234e+04
HI 1215Å,44552,4.455200e+01,1.901348e-01,3.034563e+03,1.300645e+00
