statistic,value
mean_flux,0.6370109331719537
median_flux,0.7850311398506165
std_flux,0.3331712092501985
min_flux,2.9382650407717056e-39
max_flux,0.999912440776825
mean_tau,2660.368645581087
median_tau,0.24203185737133026
effective_tau,0.4509684600220164
deep_absorption_frac,0.14418334549741746
moderate_absorption_frac,0.14675852795867955
weak_absorption_frac,0.709058126543903
tau_eff_err,0.002362142738688976
tau_eff_std,0.2362142738688976
mean_flux_err,0.0007506933951073264
mean_flux_std,0.07506933951073264
n_sightlines,10000.0
tau_eff_obs_target,0.3620014421674397
mean_flux_target,0.6962813636867353
tau_scale_factor,0.6761895539892603
tau_eff_H_total,
hi_fraction_eff,
