statistic,value
mean_flux,0.56675801515656
median_flux,0.6891595125198364
std_flux,0.33297901214126663
min_flux,2.9382650407717056e-39
max_flux,0.9989187121391296
mean_tau,6580.756063992364
median_tau,0.37228256464004517
effective_tau,0.567822847380323
deep_absorption_frac,0.1807996771416272
moderate_absorption_frac,0.1754400595494332
weak_absorption_frac,0.6437602633089395
tau_eff_err,0.004492674556847744
tau_eff_std,0.44926745568477433
mean_flux_err,0.0009259914864301106
mean_flux_std,0.09259914864301107
n_sightlines,10000.0
tau_eff_obs_target,0.3620014421674397
mean_flux_target,0.6962813636867353
tau_scale_factor,0.4547827254779045
tau_eff_H_total,
hi_fraction_eff,
