statistic,value
mean_flux,0.5669800915661848
median_flux,0.6878194808959961
std_flux,0.33177407131007436
min_flux,2.9382650407717056e-39
max_flux,0.9983200430870056
mean_tau,2552.728149053103
median_tau,0.374228835105896
effective_tau,0.5674310877470387
deep_absorption_frac,0.1784419787630937
moderate_absorption_frac,0.17765994403788204
weak_absorption_frac,0.6438980771990243
tau_eff_err,0.0027307181027627215
tau_eff_std,0.27307181027627214
mean_flux_err,0.0008807252612064733
mean_flux_std,0.08807252612064732
n_sightlines,10000.0
tau_eff_obs_target,0.3620014421674397
mean_flux_target,0.6962813636867353
tau_scale_factor,0.4580605919900804
tau_eff_H_total,
hi_fraction_eff,
