ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,8.553143e+04,2.883876e+04
HI 1215Å,44795,4.479500e+01,1.556634e-01,5.739160e+03,1.350399e+00
