ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,7.209869e+04,2.329012e+04
HI 1215Å,50181,5.018100e+01,1.428759e-01,4.062236e+03,1.278716e+00
