ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,9.977848e+04,3.172232e+04
HI 1215Å,89274,8.927400e+01,2.485120e-01,5.074329e+03,1.512961e+00
