statistic,value
mean_flux,0.2973415212039122
median_flux,0.25352922081947327
std_flux,0.2647405232180548
min_flux,2.9382650407717056e-39
max_flux,0.969659149646759
mean_tau,1489.770482145036
median_tau,1.3722761869430542
effective_tau,1.2128738977680733
deep_absorption_frac,0.3513112185047501
moderate_absorption_frac,0.37678142090045436
weak_absorption_frac,0.27190736059479553
tau_eff_err,0.0028215785979940973
tau_eff_std,0.2821578597994097
mean_flux_err,0.0006542630896359932
mean_flux_std,0.06542630896359931
n_sightlines,10000.0
tau_eff_obs_target,0.5530075418021722
mean_flux_target,0.5752172164383526
tau_scale_factor,0.2868991092967191
tau_eff_H_total,inf
hi_fraction_eff,0.0
