ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10182,1.018200e+01,9.999699e-01,9.704711e+03,1.354288e+03
HI 1215Å,6541,6.541000e+00,1.472176e-02,6.441728e+03,9.719046e-01
