ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,4.734065e+04,1.258963e+04
HI 1215Å,31959,3.195900e+01,9.027271e-02,6.512302e+03,1.180879e+00
