ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,3.263450e+04,1.067703e+04
HI 1215Å,23231,2.323100e+01,7.280037e-02,4.435026e+03,1.269893e+00
