statistic,value
mean_flux,0.798436940784856
median_flux,0.9398791193962097
std_flux,0.2862311556971888
min_flux,2.9382650407717056e-39
max_flux,0.999879777431488
mean_tau,8469.298364902128
median_tau,0.06200401484966278
effective_tau,0.22509928653713143
deep_absorption_frac,0.06518692926760222
moderate_absorption_frac,0.08642172119545437
weak_absorption_frac,0.8483913495369434
tau_eff_err,0.013431937786190805
tau_eff_std,1.3431937786190804
mean_flux_err,0.0009197948045076066
mean_flux_std,0.09197948045076067
n_sightlines,10000.0
tau_eff_obs_target,0.12714278068007295
mean_flux_target,0.8806079298214535
tau_scale_factor,0.38045706221921416
tau_eff_H_total,
hi_fraction_eff,
