ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10021,1.002100e+01,9.999957e-01,9.798516e+03,1.204279e+03
HI 1215Å,4937,4.937000e+00,1.160036e-02,1.699831e+04,9.764041e-01
