# n_pixels = 250000000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,8.895440e-02,1.333825e-04,444772
3.000000e-02,2.000000e-02,4.000000e-02,1.154900e-02,4.806038e-05,57745
5.000000e-02,4.000000e-02,6.000000e-02,1.000680e-02,4.473656e-05,50034
7.000000e-02,6.000000e-02,8.000000e-02,9.234400e-03,4.297534e-05,46172
9.000000e-02,8.000000e-02,1.000000e-01,8.760800e-03,4.185881e-05,43804
1.100000e-01,1.000000e-01,1.200000e-01,8.798400e-03,4.194854e-05,43992
1.300000e-01,1.200000e-01,1.400000e-01,8.679800e-03,4.166485e-05,43399
1.500000e-01,1.400000e-01,1.600000e-01,9.364200e-03,4.327632e-05,46821
1.700000e-01,1.600000e-01,1.800000e-01,9.470800e-03,4.352195e-05,47354
1.900000e-01,1.800000e-01,2.000000e-01,1.000260e-02,4.472717e-05,50013
2.100000e-01,2.000000e-01,2.200000e-01,1.039020e-02,4.558552e-05,51951
2.300000e-01,2.200000e-01,2.400000e-01,1.110980e-02,4.713767e-05,55549
2.500000e-01,2.400000e-01,2.600000e-01,1.145600e-02,4.786648e-05,57280
2.700000e-01,2.600000e-01,2.800000e-01,1.208880e-02,4.917072e-05,60444
2.900000e-01,2.800000e-01,3.000000e-01,1.234560e-02,4.969024e-05,61728
3.100000e-01,3.000000e-01,3.200000e-01,1.367400e-02,5.229532e-05,68370
3.300000e-01,3.200000e-01,3.400000e-01,1.504160e-02,5.484815e-05,75208
3.500000e-01,3.400000e-01,3.600000e-01,1.548200e-02,5.564531e-05,77410
3.700000e-01,3.600000e-01,3.800000e-01,1.634240e-02,5.717062e-05,81712
3.900000e-01,3.800000e-01,4.000000e-01,1.750820e-02,5.917466e-05,87541
4.100000e-01,4.000000e-01,4.200000e-01,1.801900e-02,6.003166e-05,90095
4.300000e-01,4.200000e-01,4.400000e-01,1.883580e-02,6.137719e-05,94179
4.500000e-01,4.400000e-01,4.600000e-01,2.048880e-02,6.401375e-05,102444
4.700000e-01,4.600000e-01,4.800000e-01,2.272620e-02,6.741840e-05,113631
4.900000e-01,4.800000e-01,5.000000e-01,2.361180e-02,6.871943e-05,118059
5.100000e-01,5.000000e-01,5.200000e-01,2.520520e-02,7.100028e-05,126026
5.300000e-01,5.200000e-01,5.400000e-01,2.806840e-02,7.492450e-05,140342
5.500000e-01,5.400000e-01,5.600000e-01,3.036400e-02,7.792817e-05,151820
5.700000e-01,5.600000e-01,5.800000e-01,3.323680e-02,8.153134e-05,166184
5.900000e-01,5.800000e-01,6.000000e-01,3.641600e-02,8.534167e-05,182080
6.100000e-01,6.000000e-01,6.200000e-01,3.966660e-02,8.906919e-05,198333
6.300000e-01,6.200000e-01,6.400000e-01,4.378800e-02,9.358205e-05,218940
6.500000e-01,6.400000e-01,6.600000e-01,4.859500e-02,9.858499e-05,242975
6.700000e-01,6.600000e-01,6.800000e-01,5.426580e-02,1.041785e-04,271329
6.900000e-01,6.800000e-01,7.000000e-01,5.920580e-02,1.088171e-04,296029
7.100000e-01,7.000000e-01,7.200000e-01,6.653280e-02,1.153541e-04,332664
7.300000e-01,7.200000e-01,7.400000e-01,7.419560e-02,1.218159e-04,370978
7.500000e-01,7.400000e-01,7.600000e-01,8.290840e-02,1.287699e-04,414542
7.700000e-01,7.600000e-01,7.800000e-01,9.371760e-02,1.369070e-04,468588
7.900000e-01,7.800000e-01,8.000000e-01,1.094024e-01,1.479205e-04,547012
8.100000e-01,8.000000e-01,8.200000e-01,1.269926e-01,1.593691e-04,634963
8.300000e-01,8.200000e-01,8.400000e-01,1.507306e-01,1.736264e-04,753653
8.500000e-01,8.400000e-01,8.600000e-01,1.857888e-01,1.927635e-04,928944
8.700000e-01,8.600000e-01,8.800000e-01,2.301692e-01,2.145550e-04,1150846
8.900000e-01,8.800000e-01,9.000000e-01,3.022200e-01,2.458536e-04,1511100
9.100000e-01,9.000000e-01,9.200000e-01,4.057626e-01,2.848728e-04,2028813
9.300000e-01,9.200000e-01,9.400000e-01,5.994640e-01,3.462554e-04,2997320
9.500000e-01,9.400000e-01,9.600000e-01,9.906424e-01,4.451163e-04,4953212
9.700000e-01,9.600000e-01,9.800000e-01,2.114483e+00,6.503050e-04,10572414
9.900000e-01,9.800000e-01,1.000000e+00,4.365424e+01,2.954801e-03,218271186
