ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.717736e+04,5.792511e+03
HI 1215Å,20529,2.052900e+01,5.674826e-02,7.237626e+03,1.139316e+00
