statistic,value
mean_flux,0.2338957799751377
median_flux,0.15625326335430145
std_flux,0.24069778131974554
min_flux,2.9382650407717056e-39
max_flux,0.9859710931777954
mean_tau,2980.6488852422544
median_tau,1.8562771081924438
effective_tau,1.4528796475593044
deep_absorption_frac,0.4374482567738176
moderate_absorption_frac,0.3801154154931857
weak_absorption_frac,0.18243632773299667
tau_eff_err,0.003259151983669719
tau_eff_std,0.3259151983669719
mean_flux_err,0.0006407133109374792
mean_flux_std,0.06407133109374792
n_sightlines,10000.0
tau_eff_obs_target,0.8160743077493965
mean_flux_target,0.44216405184357616
tau_scale_factor,0.3830693773161482
tau_eff_H_total,
hi_fraction_eff,
