k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
1.139007e-01,7.970621e-01,8.708794e-01,8.708794e-03,4.093609e-01,4.315048e-01,4.315048e-03
1.159347e-01,7.410118e-01,7.832550e-01,7.832550e-03,3.745543e-01,3.861695e-01,3.861695e-03
1.179686e-01,7.152933e-01,7.679332e-01,7.679332e-03,3.523695e-01,3.693211e-01,3.693211e-03
1.200026e-01,6.749883e-01,7.419679e-01,7.419679e-03,3.205166e-01,3.336414e-01,3.336414e-03
1.220365e-01,6.524564e-01,7.376364e-01,7.376364e-03,3.065387e-01,3.158909e-01,3.158909e-03
1.240704e-01,6.207914e-01,6.930417e-01,6.930417e-03,2.868240e-01,2.980933e-01,2.980933e-03
1.261044e-01,6.131303e-01,7.083675e-01,7.083675e-03,2.724137e-01,2.809503e-01,2.809503e-03
1.281383e-01,5.823375e-01,6.517229e-01,6.517229e-03,2.516935e-01,2.629080e-01,2.629080e-03
1.301723e-01,5.689866e-01,6.301830e-01,6.301830e-03,2.389501e-01,2.500111e-01,2.500111e-03
1.322062e-01,5.527618e-01,6.283749e-01,6.283749e-03,2.252264e-01,2.337072e-01,2.337072e-03
1.342402e-01,5.437078e-01,6.325164e-01,6.325164e-03,2.140137e-01,2.245730e-01,2.245730e-03
1.362741e-01,5.289794e-01,6.280172e-01,6.280172e-03,2.049255e-01,2.136375e-01,2.136375e-03
1.383080e-01,5.298285e-01,6.381821e-01,6.381821e-03,1.978981e-01,2.077622e-01,2.077622e-03
1.403420e-01,5.155754e-01,5.997255e-01,5.997255e-03,1.849801e-01,1.944711e-01,1.944711e-03
1.423759e-01,5.054911e-01,6.205709e-01,6.205709e-03,1.745590e-01,1.851234e-01,1.851234e-03
1.444099e-01,4.842510e-01,5.972642e-01,5.972642e-03,1.659368e-01,1.810419e-01,1.810419e-03
1.464438e-01,4.832917e-01,5.759132e-01,5.759132e-03,1.615025e-01,1.687862e-01,1.687862e-03
1.484778e-01,4.733115e-01,5.658095e-01,5.658095e-03,1.527732e-01,1.616067e-01,1.616067e-03
1.505117e-01,4.719560e-01,5.879384e-01,5.879384e-03,1.456679e-01,1.555693e-01,1.555693e-03
