ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.696947e+04,6.096886e+03
HI 1215Å,26086,2.608600e+01,6.671005e-02,6.597435e+03,1.154936e+00
