ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.143027e+05,3.168193e+04
HI 1215Å,78268,7.826800e+01,2.471232e-01,8.489390e+03,1.697826e+00
