ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.781047e+04,3.332085e+03
HI 1215Å,15025,1.502500e+01,3.855124e-02,4.823631e+03,1.095571e+00
