N_HI,b_param_km_s
4.329066e+13,5.357134e+01
1.255884e+13,7.898748e+01
1.764379e+13,7.899210e+01
3.962092e+14,4.888685e+01
5.098150e+14,7.567252e+01
2.073400e+13,7.896399e+01
1.743481e+14,8.000000e+01
1.743481e+14,8.000000e+01
5.400455e+13,5.489261e+01
3.633828e+13,3.897735e+01
4.367659e+13,4.222046e+01
1.898044e+13,7.899593e+01
9.688041e+13,4.954748e+01
2.116563e+14,5.447220e+01
2.156819e+14,7.723402e+01
5.147020e+14,8.000000e+01
7.173863e+13,5.068858e+01
1.219194e+13,7.899714e+01
4.774619e+13,3.291154e+01
1.868674e+13,7.898399e+01
8.203880e+13,4.966760e+01
1.589446e+13,7.899620e+01
1.751834e+16,8.000000e+01
1.871544e+13,7.899047e+01
7.223774e+13,4.246069e+01
3.976598e+13,7.899052e+01
1.680614e+14,8.000000e+01
1.680614e+14,8.000000e+01
2.043556e+13,7.899554e+01
1.260073e+13,7.899739e+01
2.832655e+13,2.888768e+01
9.674090e+13,5.375151e+01
1.048026e+13,7.896261e+01
2.463618e+13,7.898687e+01
3.523762e+13,3.074947e+01
2.961317e+14,8.000000e+01
2.961317e+14,8.000000e+01
7.378802e+13,3.915753e+01
1.912788e+13,7.899499e+01
4.040172e+13,4.999996e+00
4.040172e+13,7.899109e+01
3.727997e+13,3.068941e+01
2.536194e+14,8.000000e+01
7.118295e+13,6.690412e+01
2.502714e+13,2.960837e+01
8.428799e+13,6.276015e+01
3.446262e+13,7.893804e+01
8.719179e+13,4.294115e+01
2.862811e+14,8.000000e+01
1.268106e+14,7.260958e+01
1.326281e+13,7.899612e+01
2.149106e+13,7.899263e+01
1.035738e+13,7.896703e+01
8.240171e+13,5.339117e+01
4.040178e+13,2.828711e+01
1.916766e+13,7.899442e+01
2.557537e+13,2.804688e+01
1.424385e+13,6.087188e+01
2.777449e+14,8.000000e+01
2.777449e+14,8.000000e+01
3.915725e+14,8.000000e+01
3.915725e+14,8.000000e+01
1.133326e+13,7.895206e+01
2.889698e+14,7.050757e+01
2.188592e+13,7.899246e+01
9.361116e+12,2.099763e+01
2.500563e+15,8.000000e+01
2.500563e+15,8.000000e+01
9.571677e+13,6.942653e+01
4.181890e+14,8.000000e+01
4.181890e+14,8.000000e+01
1.484924e+13,7.897138e+01
1.013824e+13,7.899765e+01
1.475529e+18,8.000000e+01
2.269583e+13,7.899495e+01
2.369949e+13,7.899506e+01
1.752854e+13,7.899706e+01
1.723578e+14,5.519289e+01
1.860035e+13,7.898794e+01
7.943269e+13,5.483255e+01
2.860931e+13,3.026901e+01
7.242353e+13,6.438170e+01
5.065566e+13,5.219002e+01
2.233717e+14,5.843600e+01
1.147698e+14,5.963715e+01
5.950920e+13,3.807649e+01
6.622523e+13,3.957793e+01
6.084515e+13,7.899642e+01
1.544767e+13,7.899698e+01
1.811239e+14,8.000000e+01
3.508490e+14,8.000000e+01
3.508490e+14,8.000000e+01
3.267496e+13,7.612139e+01
5.618990e+13,5.861617e+01
1.338473e+14,6.191934e+01
1.036598e+14,3.981816e+01
1.114190e+13,7.896880e+01
7.782648e+13,5.000000e+00
7.782648e+13,5.000008e+00
7.782648e+13,7.899655e+01
3.992486e+13,3.657505e+01
1.042761e+14,5.002794e+01
1.284226e+14,4.762564e+01
6.195971e+13,3.639488e+01
6.183748e+14,8.000000e+01
6.183748e+14,8.000000e+01
2.013759e+14,5.459232e+01
1.374612e+13,7.899644e+01
3.696972e+14,8.000000e+01
3.696972e+14,8.000000e+01
4.452044e+13,3.531384e+01
1.568110e+13,7.898854e+01
