ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.733089e+05,9.239935e+04
HI 1215Å,88790,8.879000e+01,8.316327e-01,1.465189e+03,1.736677e+00
