# n_sightlines = 10000
# X = 1.681817e-01 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 1.681817e-01
# redshift = 3.490861
# n_absorbers = 580000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.601353
# beta_fit_err = 0.102753
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,1.427391e-12,14041,1.204603e-14,2.000000e-01,1.292447e+13
1.331141e+01,2.852346e-12,44469,1.352613e-14,2.000000e-01,2.048390e+13
1.351141e+01,3.358088e-12,82975,1.165785e-14,2.000000e-01,3.246479e+13
1.371141e+01,2.688176e-12,105272,8.285167e-15,2.000000e-01,5.145323e+13
1.391141e+01,1.616145e-12,100308,5.102848e-15,2.000000e-01,8.154787e+13
1.411141e+01,8.060015e-13,79285,2.862466e-15,2.000000e-01,1.292447e+14
1.431141e+01,3.612240e-13,56316,1.522161e-15,2.000000e-01,2.048390e+14
1.451141e+01,1.499292e-13,37046,7.789606e-16,2.000000e-01,3.246479e+14
1.471141e+01,5.905346e-14,23126,3.883248e-16,2.000000e-01,5.145323e+14
1.491141e+01,2.288846e-14,14206,1.920351e-16,2.000000e-01,8.154787e+14
1.511141e+01,8.393964e-15,8257,9.237532e-17,2.000000e-01,1.292447e+15
1.531141e+01,3.067928e-15,4783,4.436036e-17,2.000000e-01,2.048390e+15
1.551141e+01,1.096766e-15,2710,2.106830e-17,2.000000e-01,3.246479e+15
1.571141e+01,4.093345e-16,1603,1.022378e-17,2.000000e-01,5.145323e+15
1.591141e+01,1.617628e-16,1004,5.105187e-18,2.000000e-01,8.154787e+15
1.611141e+01,5.916540e-17,582,2.452485e-18,2.000000e-01,1.292447e+16
1.631141e+01,2.706807e-17,422,1.317653e-18,2.000000e-01,2.048390e+16
1.651141e+01,1.121049e-17,277,6.735731e-19,2.000000e-01,3.246479e+16
1.671141e+01,5.387996e-18,211,3.709250e-19,2.000000e-01,5.145323e+16
1.691141e+01,2.303991e-18,143,1.926694e-19,2.000000e-01,8.154787e+16
1.711141e+01,1.148744e-18,113,1.080647e-19,2.000000e-01,1.292447e+17
1.731141e+01,5.131387e-19,80,5.737066e-20,2.000000e-01,2.048390e+17
1.751141e+01,2.711563e-19,67,3.312701e-20,2.000000e-01,3.246479e+17
1.771141e+01,1.353383e-19,53,1.859014e-20,2.000000e-01,5.145323e+17
1.791141e+01,8.055914e-20,50,1.139278e-20,2.000000e-01,8.154787e+17
1.811141e+01,3.761374e-20,37,6.183661e-21,2.000000e-01,1.292447e+18
1.831141e+01,1.282847e-20,20,2.868533e-21,2.000000e-01,2.048390e+18
1.851141e+01,8.903638e-21,22,1.898262e-21,2.000000e-01,3.246479e+18
1.871141e+01,5.617816e-21,22,1.197722e-21,2.000000e-01,5.145323e+18
1.891141e+01,3.383484e-21,21,7.383367e-22,2.000000e-01,8.154787e+18
1.911141e+01,1.524881e-21,15,3.937227e-22,2.000000e-01,1.292447e+19
1.931141e+01,7.055658e-22,11,2.127361e-22,2.000000e-01,2.048390e+19
1.951141e+01,5.261241e-22,13,1.459206e-22,2.000000e-01,3.246479e+19
1.971141e+01,2.808908e-22,11,8.469176e-23,2.000000e-01,5.145323e+19
1.991141e+01,2.094538e-22,13,5.809202e-23,2.000000e-01,8.154787e+19
2.011141e+01,1.118246e-22,11,3.371640e-23,2.000000e-01,1.292447e+20
2.031141e+01,5.131387e-23,8,1.814219e-23,2.000000e-01,2.048390e+20
2.051141e+01,2.832976e-23,7,1.070764e-23,2.000000e-01,3.246479e+20
2.071141e+01,1.787487e-23,7,6.756065e-24,2.000000e-01,5.145323e+20
2.091141e+01,6.444731e-24,4,3.222366e-24,2.000000e-01,8.154787e+20
2.111141e+01,5.082938e-24,5,2.273159e-24,2.000000e-01,1.292447e+21
2.131141e+01,6.414234e-25,1,6.414234e-25,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,1.611183e-25,1,1.611183e-25,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
