# n_pixels = 247270000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,2.220883e+00,6.701347e-04,10983154
3.000000e-02,2.000000e-02,4.000000e-02,3.971169e-01,2.833730e-04,1963902
5.000000e-02,4.000000e-02,6.000000e-02,3.083884e-01,2.497171e-04,1525104
7.000000e-02,6.000000e-02,8.000000e-02,2.683931e-01,2.329619e-04,1327311
9.000000e-02,8.000000e-02,1.000000e-01,2.468401e-01,2.234123e-04,1220723
1.100000e-01,1.000000e-01,1.200000e-01,2.335811e-01,2.173292e-04,1155152
1.300000e-01,1.200000e-01,1.400000e-01,2.251314e-01,2.133621e-04,1113365
1.500000e-01,1.400000e-01,1.600000e-01,2.182202e-01,2.100616e-04,1079186
1.700000e-01,1.600000e-01,1.800000e-01,2.155913e-01,2.087925e-04,1066185
1.900000e-01,1.800000e-01,2.000000e-01,2.108234e-01,2.064708e-04,1042606
2.100000e-01,2.000000e-01,2.200000e-01,2.096037e-01,2.058727e-04,1036574
2.300000e-01,2.200000e-01,2.400000e-01,2.092698e-01,2.057087e-04,1034923
2.500000e-01,2.400000e-01,2.600000e-01,2.091449e-01,2.056472e-04,1034305
2.700000e-01,2.600000e-01,2.800000e-01,2.138905e-01,2.079673e-04,1057774
2.900000e-01,2.800000e-01,3.000000e-01,2.151361e-01,2.085720e-04,1063934
3.100000e-01,3.000000e-01,3.200000e-01,2.157213e-01,2.088554e-04,1066828
3.300000e-01,3.200000e-01,3.400000e-01,2.199592e-01,2.108970e-04,1087786
3.500000e-01,3.400000e-01,3.600000e-01,2.225341e-01,2.121278e-04,1100520
3.700000e-01,3.600000e-01,3.800000e-01,2.279377e-01,2.146878e-04,1127243
3.900000e-01,3.800000e-01,4.000000e-01,2.330273e-01,2.170714e-04,1152413
4.100000e-01,4.000000e-01,4.200000e-01,2.372617e-01,2.190348e-04,1173354
4.300000e-01,4.200000e-01,4.400000e-01,2.441673e-01,2.221995e-04,1207505
4.500000e-01,4.400000e-01,4.600000e-01,2.529943e-01,2.261802e-04,1251158
4.700000e-01,4.600000e-01,4.800000e-01,2.604829e-01,2.295033e-04,1288192
4.900000e-01,4.800000e-01,5.000000e-01,2.680800e-01,2.328260e-04,1325763
5.100000e-01,5.000000e-01,5.200000e-01,2.767440e-01,2.365584e-04,1368610
5.300000e-01,5.200000e-01,5.400000e-01,2.886579e-01,2.415967e-04,1427529
5.500000e-01,5.400000e-01,5.600000e-01,2.997960e-01,2.462137e-04,1482611
5.700000e-01,5.600000e-01,5.800000e-01,3.123998e-01,2.513360e-04,1544942
5.900000e-01,5.800000e-01,6.000000e-01,3.290951e-01,2.579645e-04,1627507
6.100000e-01,6.000000e-01,6.200000e-01,3.489208e-01,2.656212e-04,1725553
6.300000e-01,6.200000e-01,6.400000e-01,3.689204e-01,2.731276e-04,1824459
6.500000e-01,6.400000e-01,6.600000e-01,3.923937e-01,2.816828e-04,1940544
6.700000e-01,6.600000e-01,6.800000e-01,4.207409e-01,2.916800e-04,2080732
6.900000e-01,6.800000e-01,7.000000e-01,4.491384e-01,3.013626e-04,2221169
7.100000e-01,7.000000e-01,7.200000e-01,4.871665e-01,3.138615e-04,2409233
7.300000e-01,7.200000e-01,7.400000e-01,5.320023e-01,3.279865e-04,2630964
7.500000e-01,7.400000e-01,7.600000e-01,5.890516e-01,3.451246e-04,2913096
7.700000e-01,7.600000e-01,7.800000e-01,6.560950e-01,3.642358e-04,3244652
7.900000e-01,7.800000e-01,8.000000e-01,7.359961e-01,3.857776e-04,3639795
8.100000e-01,8.000000e-01,8.200000e-01,8.371028e-01,4.114231e-04,4139808
8.300000e-01,8.200000e-01,8.400000e-01,9.729363e-01,4.435489e-04,4811559
8.500000e-01,8.400000e-01,8.600000e-01,1.157093e+00,4.837081e-04,5722287
8.700000e-01,8.600000e-01,8.800000e-01,1.409986e+00,5.339574e-04,6972943
8.900000e-01,8.800000e-01,9.000000e-01,1.781102e+00,6.001277e-04,8808260
9.100000e-01,9.000000e-01,9.200000e-01,2.357578e+00,6.904501e-04,11659165
9.300000e-01,9.200000e-01,9.400000e-01,3.318777e+00,8.191969e-04,16412680
9.500000e-01,9.400000e-01,9.600000e-01,5.090904e+00,1.014604e-03,25176556
9.700000e-01,9.600000e-01,9.800000e-01,8.936678e+00,1.344273e-03,44195445
9.900000e-01,9.800000e-01,1.000000e+00,9.666547e+00,1.398089e-03,47804941
