ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.433741e+05,6.832082e+04
HI 1215Å,59587,5.958700e+01,2.836242e-01,1.846224e+03,1.302230e+00
