ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,9.890395e+03,1.929602e+03
HI 1215Å,12199,1.219900e+01,2.772729e-02,5.240115e+03,1.139122e+00
