ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.683146e+04,4.343159e+03
HI 1215Å,13951,1.395100e+01,4.011439e-02,1.058388e+04,1.099766e+00
