ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10009,1.000900e+01,9.999987e-01,1.775358e+04,2.884509e+03
HI 1215Å,11902,1.190200e+01,3.164220e-02,6.755950e+03,1.049210e+00
