ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.085440e+05,4.123382e+04
HI 1215Å,60044,6.004400e+01,2.186338e-01,3.306151e+03,1.424800e+00
