# n_sightlines = 10000
# X = 7.515343e-02 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 7.515343e-02
# redshift = 2.002028
# n_absorbers = 410000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.883929
# beta_fit_err = 0.016971
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,1.044573e-11,45916,4.874798e-14,2.000000e-01,1.292447e+13
1.331141e+01,4.931910e-12,34359,2.660694e-14,2.000000e-01,2.048390e+13
1.351141e+01,2.287384e-12,25256,1.439318e-14,2.000000e-01,3.246479e+13
1.371141e+01,1.002429e-12,17542,7.568576e-15,2.000000e-01,5.145323e+13
1.391141e+01,4.395197e-13,12190,3.980856e-15,2.000000e-01,8.154787e+13
1.411141e+01,1.837261e-13,8076,2.044432e-15,2.000000e-01,1.292447e+14
1.431141e+01,7.965065e-14,5549,1.069257e-15,2.000000e-01,2.048390e+14
1.451141e+01,3.301202e-14,3645,5.467935e-16,2.000000e-01,3.246479e+14
1.471141e+01,1.322896e-14,2315,2.749477e-16,2.000000e-01,5.145323e+14
1.491141e+01,5.177607e-15,1436,1.366318e-16,2.000000e-01,8.154787e+14
1.511141e+01,2.047468e-15,900,6.824893e-17,2.000000e-01,1.292447e+15
1.531141e+01,7.779898e-16,542,3.341752e-17,2.000000e-01,2.048390e+15
1.551141e+01,3.360071e-16,371,1.744462e-17,2.000000e-01,3.246479e+15
1.571141e+01,1.582903e-16,277,9.510744e-18,2.000000e-01,5.145323e+15
1.591141e+01,6.958761e-17,193,5.009026e-18,2.000000e-01,8.154787e+15
1.611141e+01,3.480696e-17,153,2.813976e-18,2.000000e-01,1.292447e+16
1.631141e+01,1.622008e-17,113,1.525857e-18,2.000000e-01,2.048390e+16
1.651141e+01,9.056796e-18,100,9.056796e-19,2.000000e-01,3.246479e+16
1.671141e+01,4.400128e-18,77,5.014411e-19,2.000000e-01,5.145323e+16
1.691141e+01,1.730676e-18,48,2.498016e-19,2.000000e-01,8.154787e+16
1.711141e+01,8.417368e-19,37,1.383807e-19,2.000000e-01,1.292447e+17
1.731141e+01,3.588514e-19,25,7.177027e-20,2.000000e-01,2.048390e+17
1.751141e+01,2.988743e-19,33,5.202733e-20,2.000000e-01,3.246479e+17
1.771141e+01,1.200035e-19,21,2.618691e-20,2.000000e-01,5.145323e+17
1.791141e+01,6.129478e-20,17,1.486617e-20,2.000000e-01,8.154787e+17
1.811141e+01,4.094936e-20,18,9.651856e-21,2.000000e-01,1.292447e+18
1.831141e+01,1.722487e-20,12,4.972390e-21,2.000000e-01,2.048390e+18
1.851141e+01,8.151117e-21,9,2.717039e-21,2.000000e-01,3.246479e+18
1.871141e+01,6.857343e-21,12,1.979544e-21,2.000000e-01,5.145323e+18
1.891141e+01,1.802788e-21,5,8.062312e-22,2.000000e-01,8.154787e+18
1.911141e+01,1.137482e-21,5,5.086975e-22,2.000000e-01,1.292447e+19
1.931141e+01,1.148324e-21,8,4.059940e-22,2.000000e-01,2.048390e+19
1.951141e+01,5.434078e-22,6,2.218453e-22,2.000000e-01,3.246479e+19
1.971141e+01,4.000117e-22,7,1.511902e-22,2.000000e-01,5.145323e+19
1.991141e+01,2.163345e-22,6,8.831820e-23,2.000000e-01,8.154787e+19
2.011141e+01,1.819972e-22,8,6.434571e-23,2.000000e-01,1.292447e+20
2.031141e+01,1.148324e-22,8,4.059940e-23,2.000000e-01,2.048390e+20
2.051141e+01,3.622719e-23,4,1.811359e-23,2.000000e-01,3.246479e+20
2.071141e+01,2.857226e-23,5,1.277790e-23,2.000000e-01,5.145323e+20
2.091141e+01,1.081673e-23,3,6.245040e-24,2.000000e-01,8.154787e+20
2.111141e+01,2.274964e-24,1,2.274964e-24,2.000000e-01,1.292447e+21
2.131141e+01,1.435405e-24,1,1.435405e-24,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
