ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.792720e+04,3.376012e+03
HI 1215Å,15689,1.568900e+01,4.070108e-02,7.606977e+03,1.100560e+00
