statistic,value
mean_flux,0.5529263145172207
median_flux,0.6471650004386902
std_flux,0.3102039977964527
min_flux,2.9382650407717056e-39
max_flux,0.986008882522583
mean_tau,1140.567722591818
median_tau,0.435153990983963
effective_tau,0.5925305331422488
deep_absorption_frac,0.1513940092449923
moderate_absorption_frac,0.21994883204930663
weak_absorption_frac,0.628657158705701
tau_eff_err,0.002874074719261649
tau_eff_std,0.2874074719261649
mean_flux_err,0.0008206353382728098
mean_flux_std,0.08206353382728099
n_sightlines,10000.0
tau_eff_obs_target,0.21361081661403034
mean_flux_target,0.8076626527507443
tau_scale_factor,0.21458838956888712
tau_eff_H_total,inf
hi_fraction_eff,0.0
