ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.871787e+05,9.613277e+04
HI 1215Å,76396,7.639600e+01,4.591832e-01,2.483633e+03,1.358982e+00
