ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.388512e+05,5.815734e+04
HI 1215Å,81432,8.143200e+01,3.401800e-01,4.226834e+03,1.436190e+00
