ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10003,1.000300e+01,9.999994e-01,1.761593e+04,2.860368e+03
HI 1215Å,11346,1.134600e+01,3.056357e-02,1.127173e+04,1.061337e+00
