ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,3.014375e+04,6.943617e+03
HI 1215Å,20613,2.061300e+01,6.234874e-02,1.226313e+04,1.210277e+00
