ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10018,1.001800e+01,9.999970e-01,1.716051e+04,2.626764e+03
HI 1215Å,10595,1.059500e+01,2.700493e-02,1.062682e+04,1.001005e+00
