ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,3.921814e+04,7.009395e+03
HI 1215Å,21569,2.156900e+01,5.558219e-02,2.508279e+04,1.123322e+00
