ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10008,1.000800e+01,9.999980e-01,9.596699e+03,1.282758e+03
HI 1215Å,6872,6.872000e+00,1.531605e-02,1.318390e+04,1.009813e+00
