# n_pixels = 249990000
# n_pixels_in_grid = 118569522
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 6.160246e-06
# frac_tau_underflow = 5.252349e-01
# frac_tau_overflow = 4.618785e-04
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,8.186299e-01,2.878378e-04,8088713
-2.875000e+00,-2.916667e+00,-2.833333e+00,7.676988e-01,2.787401e-04,7585473
-2.791667e+00,-2.833333e+00,-2.750000e+00,7.259829e-01,2.710612e-04,7173287
-2.708333e+00,-2.750000e+00,-2.666667e+00,6.836038e-01,2.630306e-04,6754548
-2.625000e+00,-2.666667e+00,-2.583333e+00,6.412484e-01,2.547518e-04,6336043
-2.541667e+00,-2.583333e+00,-2.500000e+00,6.020284e-01,2.468383e-04,5948518
-2.458333e+00,-2.500000e+00,-2.416667e+00,5.695605e-01,2.400900e-04,5627710
-2.375000e+00,-2.416667e+00,-2.333333e+00,5.305191e-01,2.317152e-04,5241950
-2.291667e+00,-2.333333e+00,-2.250000e+00,5.011791e-01,2.252167e-04,4952047
-2.208333e+00,-2.250000e+00,-2.166667e+00,4.720415e-01,2.185718e-04,4664145
-2.125000e+00,-2.166667e+00,-2.083333e+00,4.436536e-01,2.118976e-04,4383650
-2.041667e+00,-2.083333e+00,-2.000000e+00,4.201565e-01,2.062100e-04,4151480
-1.958333e+00,-2.000000e+00,-1.916667e+00,4.016481e-01,2.016169e-04,3968602
-1.875000e+00,-1.916667e+00,-1.833333e+00,3.759700e-01,1.950656e-04,3714882
-1.791667e+00,-1.833333e+00,-1.750000e+00,3.552188e-01,1.896060e-04,3509844
-1.708333e+00,-1.750000e+00,-1.666667e+00,3.314343e-01,1.831483e-04,3274834
-1.625000e+00,-1.666667e+00,-1.583333e+00,3.110808e-01,1.774356e-04,3073725
-1.541667e+00,-1.583333e+00,-1.500000e+00,2.970973e-01,1.734017e-04,2935557
-1.458333e+00,-1.500000e+00,-1.416667e+00,2.783131e-01,1.678305e-04,2749954
-1.375000e+00,-1.416667e+00,-1.333333e+00,2.585577e-01,1.617643e-04,2554755
-1.291667e+00,-1.333333e+00,-1.250000e+00,2.427838e-01,1.567523e-04,2398897
-1.208333e+00,-1.250000e+00,-1.166667e+00,2.243576e-01,1.506865e-04,2216831
-1.125000e+00,-1.166667e+00,-1.083333e+00,2.060271e-01,1.443997e-04,2035711
-1.041667e+00,-1.083333e+00,-1.000000e+00,1.859698e-01,1.371909e-04,1837529
-9.583333e-01,-1.000000e+00,-9.166667e-01,1.693473e-01,1.309162e-04,1673286
-8.750000e-01,-9.166667e-01,-8.333333e-01,1.505233e-01,1.234258e-04,1487290
-7.916667e-01,-8.333333e-01,-7.500000e-01,1.380750e-01,1.182120e-04,1364291
-7.083333e-01,-7.500000e-01,-6.666667e-01,1.234097e-01,1.117580e-04,1219386
-6.250000e-01,-6.666667e-01,-5.833333e-01,1.101021e-01,1.055606e-04,1087896
-5.416667e-01,-5.833333e-01,-5.000000e-01,9.810285e-02,9.964257e-05,969334
-4.583333e-01,-5.000000e-01,-4.166667e-01,8.573016e-02,9.314744e-05,847082
-3.750000e-01,-4.166667e-01,-3.333333e-01,7.677815e-02,8.815012e-05,758629
-2.916667e-01,-3.333333e-01,-2.500000e-01,6.780407e-02,8.283845e-05,669958
-2.083333e-01,-2.500000e-01,-1.666667e-01,5.884841e-02,7.717408e-05,581469
-1.250000e-01,-1.666667e-01,-8.333333e-02,4.952851e-02,7.079975e-05,489381
-4.166667e-02,-8.333333e-02,0.000000e+00,4.296204e-02,6.593963e-05,424499
4.166667e-02,0.000000e+00,8.333333e-02,3.578275e-02,6.017845e-05,353562
1.250000e-01,8.333333e-02,1.666667e-01,2.883938e-02,5.402529e-05,284956
2.083333e-01,1.666667e-01,2.500000e-01,2.359294e-02,4.886469e-05,233117
2.916667e-01,2.500000e-01,3.333333e-01,1.817789e-02,4.289196e-05,179612
3.750000e-01,3.333333e-01,4.166667e-01,1.508948e-02,3.907880e-05,149096
4.583333e-01,4.166667e-01,5.000000e-01,1.239566e-02,3.541922e-05,122479
5.416667e-01,5.000000e-01,5.833333e-01,9.733226e-03,3.138575e-05,96172
6.250000e-01,5.833333e-01,6.666667e-01,7.215412e-03,2.702307e-05,71294
7.083333e-01,6.666667e-01,7.500000e-01,5.973508e-03,2.458775e-05,59023
7.916667e-01,7.500000e-01,8.333333e-01,4.862767e-03,2.218431e-05,48048
8.750000e-01,8.333333e-01,9.166667e-01,3.953731e-03,2.000358e-05,39066
9.583333e-01,9.166667e-01,1.000000e+00,2.947537e-03,1.727164e-05,29124
1.041667e+00,1.000000e+00,1.083333e+00,2.413976e-03,1.563042e-05,23852
1.125000e+00,1.083333e+00,1.166667e+00,1.982533e-03,1.416493e-05,19589
1.208333e+00,1.166667e+00,1.250000e+00,1.966542e-03,1.410768e-05,19431
1.291667e+00,1.250000e+00,1.333333e+00,1.558782e-03,1.256021e-05,15402
1.375000e+00,1.333333e+00,1.416667e+00,1.394220e-03,1.187872e-05,13776
1.458333e+00,1.416667e+00,1.500000e+00,1.113170e-03,1.061414e-05,10999
