ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,7.231588e+04,1.929201e+04
HI 1215Å,47826,4.782600e+01,1.389985e-01,7.194406e+03,1.349309e+00
