ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,9.204429e+04,2.589151e+04
HI 1215Å,58441,5.844100e+01,1.794074e-01,9.132575e+03,1.413979e+00
