statistic,value
mean_flux,0.7986666027817945
median_flux,0.9343281984329224
std_flux,0.2801177736192162
min_flux,2.9382650407717056e-39
max_flux,0.9999507069587708
mean_tau,1638.5266484733077
median_tau,0.06792750209569931
effective_tau,0.2248116884043159
deep_absorption_frac,0.060687014195009506
moderate_absorption_frac,0.08652107817365633
weak_absorption_frac,0.8527919076313342
tau_eff_err,0.002199436381108025
tau_eff_std,0.21994363811080248
mean_flux_err,0.0007656788566197
mean_flux_std,0.07656788566197
n_sightlines,10000.0
tau_eff_obs_target,0.12714278068007295
mean_flux_target,0.8806079298214535
tau_scale_factor,0.3929555171787748
tau_eff_H_total,46.223391565697824
hi_fraction_eff,0.004863591367426408
